@relation Dataset_T2_6d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute label {0,1}

@data
0.439987,0.834634,0.77322,0,0.402378,0.461088,1
0.372142,0.861921,0.467282,0.259467,0.375337,0.387977,1
0.328182,0.741154,0.520731,0.199248,0.312307,0.339136,1
0.281489,0.631984,1,0.314271,0.66266,0.646017,1
0.238591,0.759037,0.561604,0.728341,0.80156,0.422602,1
0.16712,0.667065,0.510973,0.69635,0.799027,0.419933,1
0.098612,0.587387,0.463187,0.739888,0.741,0.369278,1
0.106527,0.572377,0.536413,0.692861,0.703326,0.235344,1
0.130868,0.578927,0,0.711735,0.349394,0.652936,1
0.04282,0.528811,0.059962,0.521348,0.623249,0.547883,1
0.074164,0.583868,0.116763,0.544318,0.598494,0.487905,1
0.214508,0.641898,0.242015,0.418637,0.287016,0.437923,0
0.183396,0.59481,0.167901,0.518325,0.319391,0.578313,0
0.175335,0.594823,0.159041,0.548112,0.266184,0.617425,0
0.127574,0.49545,0.206828,0.454174,0.291933,0.70602,0
0.192331,0.562638,0.229697,0.497514,0.237048,0.641302,0
0.366607,0.904489,0.399659,0.277709,0.557732,0.924084,0
0.343648,0.890372,0.314727,0.368444,0.571244,1,0
0.301113,0.855192,0.226018,0.492085,0.579328,0.902452,0
0.204863,0.77286,0.306726,0.354276,0.725681,0.470948,0
0.251242,0.824796,0.394149,0.294928,0.790889,0.499522,0
0.354157,0.825802,0.342746,0.43727,0.319899,0.360585,0
0.340933,0.820143,0.274397,0.539347,0.328604,0.338123,0
0.290179,0.730907,0.253735,0.510563,0.336678,0.478364,0
0.196999,0.63931,0.314315,0.376496,0.386342,0.319938,0
0.378928,0.895768,0.350054,0.452473,0.395758,0.365486,0
0.313375,0.829722,0.32151,0.395641,0.417341,0.507399,0
0.272032,0.777021,0.355241,0.353758,0.398508,0.344124,0
0.288342,0.813295,0.372703,0.331785,0.497237,0.306279,0
0.226758,0.712542,0.258708,0.45939,0.390968,0.369809,0
0.286966,0.840211,0.307899,0.314459,0.558062,0.553624,0
0.285055,0.847543,0.28068,0.345962,0.590734,0.422476,0
0.252118,0.833834,0.202717,0.459245,0.592029,0.33433,0
0.251372,0.826089,0.191286,0.494243,0.547931,0.247464,0
0.197452,0.729219,0.276187,0.389873,0.524665,0.180985,0
0.228816,0.46659,0.993709,0.364175,0.563257,0.643727,1
0.186733,0.520901,0.574431,0.792111,0.562515,0.706698,1
0.091865,0.421195,0.522082,0.844996,0.528185,0.521466,1
0.071693,0.374138,0.572843,0.758397,0.467812,0.468725,1
0.228888,0.621366,0.625331,0.738271,0.508677,0.514197,1
0.069372,0.585422,0.133402,0.541168,0.629211,0.28605,1
0.107163,0.633822,0.182321,0.48271,0.66957,0.362853,1
0.141102,0.661278,0.306065,0.395341,0.634912,0.241604,1
0.269254,0.657235,0.559315,0.900125,0.356224,0.522031,1
0.204673,0.563607,0.515909,0.942245,0.403206,0.373838,1
0.209014,0.517694,0.590517,0.904987,0.406627,0.466909,1
0.238701,0.512243,0.767743,0.598953,0.499642,0.675452,1
0.372087,0.881641,0.674088,0.815339,0.541146,0.411739,0
0.267528,0.770453,0.606275,0.791504,0.783627,0.445545,0
0.231112,0.716788,0.649798,0.68254,0.762601,0.490862,0
0.263724,0.690605,0.656872,0.704539,0.607187,0.55164,1
0.241578,0.702155,0.521906,0.848048,0.558535,0.591848,1
0.198987,0.603513,0.555945,0.848365,0.500034,0.437058,1
0.184779,0.552266,0.610648,0.825632,0.514156,0.464983,1
0.979381,0.155447,0.246192,0.283228,0.782108,0.255051,1
1,0.129189,0.182475,0.33173,0.821701,0.399994,1
0.969781,0.096985,0.11053,0.406372,0.801156,0.309321,1
0.990576,0,0.051024,0.492727,0.858447,0.281735,1
0.95911,0.031465,0.113462,0.372871,0.763849,0.48091,1
0.296248,0.791481,0.520968,0.12501,0.439339,0.535556,0
0.300007,0.838244,0.479689,0.140598,0.610384,0.464301,0
0.202154,0.720198,0.44088,0.160706,0.602122,0.365414,0
0.173828,0.652926,0.498339,0.117649,0.520892,0.358323,0
0.341602,0.900972,0.455776,0.281459,0.471736,0.489455,0
0.318215,0.895398,0.348018,0.373555,0.614784,0.354936,0
0.219501,0.740209,0.320673,0.343714,0.564064,0.283367,0
0.21869,0.714136,0.37866,0.246989,0.509615,0.254004,0
0.205804,0.652342,0.451943,0.189774,0.476316,0.255533,0
0.459838,0.988508,0.815992,0.641574,0.516816,0.293001,0
0.393185,0.917008,0.777806,0.567342,0.675504,0.385163,0
0.317745,0.8286,0.715369,0.598634,0.697123,0.257272,0
0.272588,0.702612,0.839793,0.535871,0.667275,0.192079,0
0.396703,0.788434,0.319615,0.440074,0.265482,0.564468,0
0.301934,0.713619,0.19718,0.578862,0.290138,0.556907,0
0.284632,0.744258,0.196954,0.560623,0.252028,0.341755,0
0.213652,0.640616,0.332331,0.38392,0.296294,0.30716,0
