@relation Dataset_T2_16d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.730467,0.517964,1,0.276376,0.552696,0.526255,1,0.447742,1,0.154302,0.447473,0.837835,0.502465,0.303727,0.129634,0.097386,1
0.715614,0.530075,1,0.29413,0.562683,0.505048,1,0.451654,1,0.103116,0.451383,0.896609,0.53542,0.301999,0.107773,0.031723,1
0.745058,0.519667,1,0.253085,0.551932,0.513942,1,0.451746,1,0.110486,0.451475,0.887716,0.524196,0.253363,0.12013,0.004991,1
0.628142,0.617782,1,0.345198,0.638228,0.429074,1,0.372132,1,0.291295,0.371908,0.688561,0.599599,0.343375,0.302335,0.21103,1
0.430143,0.757533,0,0.512859,0.76572,0.212789,0.146455,0.244215,0.099007,0.289976,0.244068,0.702366,0.715914,0.441239,0.268791,0.216402,1
0.496521,0.718488,0,0.480196,0.728751,0.33122,0.213193,0.280442,0.192526,0.48218,0.280274,0.486527,0.715372,0.446909,0.508933,0.423053,1
0.691855,0.567317,0,0.270255,0.59346,0.459562,0.409894,0.412614,0.273273,0.115811,0.412367,0.888568,0.540604,0.260135,0.115831,0.05906,0
0.682998,0.57416,1,0.315712,0.600185,0.452897,1,0.397023,1,0.154155,0.396785,0.849257,0.579124,0.308846,0.188445,0.059743,0
0.556252,0.671384,0,0.466671,0.686929,0.325969,0.557421,0.319833,0.454955,0.133565,0.319641,0.867941,0.681338,0.440829,0.18065,0.030624,0
0.634588,0.58845,1,0.448901,0.584346,0.450754,1,0.400577,1,0.179177,0.415769,0.81847,0.648198,0.491235,0.23183,0.08252,0
0.580773,0.637599,0.000001,0.463728,0.615879,0.439106,0.557421,0.366755,0.454955,0.23164,0.387389,0.749806,0.686742,0.493057,0.268257,0.152442,0
0.619068,0.629031,0,0.296495,0.647012,0.407937,0.213193,0.371284,0.057947,0.331751,0.371061,0.655539,0.579698,0.274925,0.295572,0.259514,1
0.526242,0.694912,0,0.393724,0.706818,0.33853,0.409894,0.313862,0.273273,0.266077,0.313673,0.728603,0.652076,0.353021,0.241779,0.182987,1
0.453841,0.742802,0,0.478635,0.75094,0.224248,0.409894,0.270783,0.273273,0.180639,0.27062,0.822211,0.712162,0.404846,0.191698,0.085873,1
0.543342,0.677624,0,0.443408,0.692142,0.352066,0.291873,0.327284,0.302342,0.211984,0.327087,0.78261,0.654855,0.42383,0.238935,0.114182,1
0.553737,0.66707,1,0.386748,0.68312,0.326914,1,0.336361,1,0.290654,0.336159,0.694747,0.618448,0.357897,0.262211,0.226866,1
0.488177,0.731068,0,0.495774,0.738011,0.418704,0.262368,0.283047,0.273273,0.337865,0.282877,0.664276,0.717849,0.49146,0.310298,0.252637,0
0.34322,0.821052,0,0.697616,0.822022,0.357154,0.336131,0.200864,0.182432,0.350914,0.200744,0.644241,0.792798,0.735603,0.348629,0.26911,0
0.401715,0.789329,0,0.605896,0.791409,0.340672,0.409894,0.231208,0.273273,0.373308,0.231069,0.635989,0.781978,0.60115,0.368076,0.287542,0
0.440082,0.757609,1,0.577083,0.76384,0.401321,1,0.253448,1,0.320959,0.253296,0.668705,0.739086,0.590136,0.328668,0.238221,0
0.539179,0.688006,1,0.474399,0.701168,0.479128,1,0.306254,1,0.386894,0.30607,0.603488,0.674944,0.496806,0.389002,0.309247,0
