@relation Dataset_T2_40d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute log_sigma_3_0_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_3_0_mm_3D_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_3_5_mm_3D_firstorder_RootMeanSquared numeric
@attribute log_sigma_4_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glcm_Correlation numeric
@attribute log_sigma_4_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_4_5_mm_3D_glcm_MCC numeric
@attribute log_sigma_4_5_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glszm_SmallAreaLowGrayLevelEmphasis numeric
@attribute log_sigma_4_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_5_0_mm_3D_firstorder_Variance numeric
@attribute log_sigma_5_0_mm_3D_glszm_SizeZoneNonUniformityNormalized numeric
@attribute log_sigma_5_0_mm_3D_ngtdm_Busyness numeric
@attribute wavelet_LLH_firstorder_Median numeric
@attribute wavelet_LLH_glcm_ClusterShade numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_LLH_glcm_MaximumProbability numeric
@attribute wavelet_LLH_gldm_DependenceEntropy numeric
@attribute wavelet_LLH_gldm_LargeDependenceLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_GrayLevelNonUniformityNormalized numeric
@attribute wavelet_LLH_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glszm_SmallAreaHighGrayLevelEmphasis numeric
@attribute wavelet_LHH_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_Median numeric
@attribute label {0,1}

@data
0.002449,0.148518,0.488224,0.412405,0.066539,0.283919,0.13962,0.12253,0.032539,0.229376,0.241686,0.307636,0.130067,0.660244,0.081863,0.58982,0.138564,0.263304,0.775252,0.291069,0.660515,0.49036,0.660515,0.178656,0.400032,0.415905,0.007473,0.26087,0.000636,0.927668,0.760695,0.239506,0.443175,0.175102,0.693272,0.989484,0.86336,0.227225,0.109514,0.700998,0
0.035546,0.315373,0.453104,0.517376,0.15332,0.436572,0.150685,0.081999,0.086741,0.330792,0.153087,0.433741,0.067387,0.444981,0.135289,0.481071,0.141708,0.534553,0.722355,0.206174,0.616345,0.54491,0.616345,0.231295,0.000003,0.31462,0.024905,0.347826,0.000848,0.874405,0.784955,0.308434,0.50408,0.297075,0.743425,0.989596,0.845534,0.066313,0.105396,0.705734,1
0.021903,0.408209,0.676182,0.464872,0.379888,0.465716,0.158731,0.058234,0.110411,0.305467,0.253859,0.349859,0.056218,0.517836,0.112343,0.619961,0.168635,0.539995,0.75556,0.301465,0.71217,0.426557,0.71217,0.275161,0.134763,0.550585,0.017946,0.339674,0.000848,0.9023,0.748058,0.231206,0.41242,0.211402,0.696114,0.988737,0.847926,0.17081,0.113742,0.759556,1
0.021066,0.325089,0.592726,0.501358,0.437043,0.337115,0.138339,0.082577,0.115337,0.302447,0.252144,0.378903,0.060538,0.315829,0.103233,0.481093,0.10181,0.379329,0.701181,0.301465,0.519972,0.589166,0.519972,0.287125,0.026992,0.716582,0.014093,0.152174,0.000391,0.874092,0.769973,0.162831,0.446273,0.200881,0.696641,0.990094,0.887147,0.275659,0.130055,0.775819,1
0.009975,0.146467,0.562568,0.677859,0.168588,0.367384,0.146877,0.065208,0.098367,0.459337,0.255419,0.54236,0.068322,0.381546,0.110604,0.341258,0.098619,0.507831,0.712575,0.287027,0.687138,0.434812,0.687138,0.268895,0.082342,0.478738,0.018319,0.339674,0.000667,0.900193,0.752456,0.312662,0.440261,0.213585,0.721423,0.989071,0.813546,0.278235,0.114096,0.758807,1
0.008567,0.146877,0.515996,0.343,0.060769,0.413604,0.139551,0.04104,0.076415,0.250252,0.236707,0.266507,0.041271,0.411915,0.161839,0.656162,0.145922,0.108891,0.706962,0.291069,0.671667,0.471687,0.671667,0.260539,0.004024,0.498661,0.027891,0.217391,0.000334,0.883887,0.757342,0.21434,0.427187,0.191181,0.673705,0.990365,0.882755,0.000001,0.111628,0.74425,1
0.007886,0.155876,0.641972,0.427726,0.133371,0.232778,0.119532,0.064354,0.080393,0.486437,0.22813,0.45293,0.062742,0.568137,0.114239,0.508907,0.109195,0.323807,0.723345,0.297133,0.615667,0.519158,0.615667,0.298385,0.197313,0.53628,0.012029,0.107826,0.000355,0.887877,0.754756,0.175761,0.413891,0.172146,0.67529,0.991696,0.910714,0.000001,0.100023,0.711815,1
0.00841,0.120421,0.524596,0.524872,0.079089,0.283802,0.122693,0.099366,0.101473,0.536941,0.255419,0.592966,0.088437,0.435379,0.132784,0.343804,0.084336,0.36713,0.696202,0.297133,0.647211,0.481896,0.647211,0.287125,0.110414,0.716582,0.018849,0.086957,0.000434,0.891256,0.751896,0.226602,0.422087,0.210481,0.686601,0.990034,0.876089,0.305561,0.138165,0.678936,1
0.014368,0.569412,0.587253,0.360156,0.300775,0.568922,0.181015,0.058654,0.09977,0.452579,0.058943,0.381745,0.082662,0.528286,0.110379,0.623853,0.243007,0.518025,0.847379,0.236494,0.790391,0.385411,0.790391,0.248842,0.15,0.290057,0.017194,0.413043,0.135245,0.913417,0.768518,0.351482,0.479024,0.267655,0.736956,0.988929,0.841692,0.153065,0.087225,0.744828,1
0.014552,0.851552,0.63171,0.276885,0.538304,0.818766,0.186851,0.057467,0.089564,0.405259,0.108062,0.322703,0.062356,0.800805,0.097675,0.744684,0.252761,0.414139,0.848198,0.254686,0.82265,0.335532,0.82265,0.202051,0.041667,0.184041,0.015238,0.413043,0.005486,0.90296,0.782623,0.274285,0.494923,0.22611,0.728684,0.988887,0.849824,0.500823,0.09004,0.781611,1
0.01405,0.359037,0.490532,0.460421,0.228536,0.45382,0.16512,0.07123,0.064964,0.426771,0.216123,0.400408,0.10521,0.566393,0.094124,0.678767,0.202899,0.517983,0.826395,0.284649,0.84475,0.28806,0.84475,0.202051,0.359574,0.54287,0.014089,0.25732,0.23613,0.904762,0.797232,0.350011,0.53817,0.331993,0.773713,0.988881,0.830181,0.189604,0.086849,0.752063,1
