@relation Dataset_T2_40d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute original_glszm_LowGrayLevelZoneEmphasis numeric
@attribute wavelet_HLL_glcm_InverseVariance numeric
@attribute original_glszm_SizeZoneNonUniformityNormalized numeric
@attribute wavelet_LLH_glcm_Correlation numeric
@attribute wavelet_HLL_glcm_DifferenceAverage numeric
@attribute wavelet_LLH_glcm_InverseVariance numeric
@attribute wavelet_HLL_glrlm_RunEntropy numeric
@attribute wavelet_HLL_glrlm_RunVariance numeric
@attribute wavelet_LLH_glrlm_RunEntropy numeric
@attribute wavelet_LLH_glcm_Imc2 numeric
@attribute wavelet_HLL_glcm_Contrast numeric
@attribute wavelet_LLH_glcm_MCC numeric
@attribute wavelet_HLL_glcm_MCC numeric
@attribute wavelet_HLL_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_HLL_glrlm_RunPercentage numeric
@attribute wavelet_HLL_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_glcm_ClusterTendency numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_gldm_LargeDependenceEmphasis numeric
@attribute wavelet_LLH_gldm_DependenceNonUniformityNormalized numeric
@attribute log_sigma_2_5_mm_3D_firstorder_Skewness numeric
@attribute wavelet_LLH_glrlm_RunPercentage numeric
@attribute wavelet_LLH_gldm_DependenceVariance numeric
@attribute wavelet_LLL_glrlm_ShortRunLowGrayLevelEmphasis numeric
@attribute wavelet_LLH_glrlm_RunLengthNonUniformityNormalized numeric
@attribute wavelet_HLL_gldm_SmallDependenceEmphasis numeric
@attribute wavelet_HHL_glrlm_LongRunEmphasis numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_DifferenceEntropy numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute original_glcm_Correlation numeric
@attribute wavelet_HHL_glrlm_LongRunHighGrayLevelEmphasis numeric
@attribute wavelet_HLL_firstorder_RobustMeanAbsoluteDeviation numeric
@attribute original_glcm_MCC numeric
@attribute label {0,1}

@data
0.65696,0.59318,1,0.324866,0.617238,0.40079,1,0.383042,1,0.239506,0.382812,0.746632,0.589668,0.299527,0.220867,0.16442,0.38255,0.159368,0.48809,0.611578,0.360595,0.31368,0.45697,0.39072,0.337833,0.622602,0.43366,0.568202,0.221937,0.852241,0.523306,0.412274,0.190711,0.229376,0.522603,0.283919,1,0.203403,0.075358,1,0
0.513204,0.700267,0,0.516439,0.712983,0.300043,0.178067,0.300407,0.065637,0.308434,0.300227,0.669922,0.707225,0.497366,0.350404,0.229422,0.300021,0.229585,0.586069,0.712789,0.263917,0.227936,0.549442,0.457351,0.430083,0.465937,0.405738,0.488701,0.356827,0.310267,0.446915,0.227278,0.230857,0.330792,0.42246,0.436572,0.62379,0.24166,0.162261,0.623741,1
0.641287,0.610053,0,0.365454,0.630517,0.355247,0.195311,0.385146,0.045045,0.231206,0.384914,0.7613,0.629208,0.331211,0.290077,0.138798,0.384651,0.143552,0.501679,0.6351,0.330908,0.287607,0.49328,0.563525,0.364605,0.614959,0.507641,0.543713,0.251846,0.400785,0.4934,0.22853,0.229884,0.305467,0.524945,0.465716,0.40548,0.237885,0.123006,0.405403,1
0.717276,0.54569,0,0.276238,0.573701,0.434651,0.241293,0.442773,0.065637,0.162831,0.442507,0.815959,0.564154,0.252508,0.235384,0.058984,0.442204,0.06738,0.443538,0.573553,0.392868,0.353894,0.452397,0.379445,0.322284,0.622329,0.355082,0.593496,0.285397,0.301294,0.554281,0.252003,0.230277,0.302447,0.584944,0.337115,0.470578,0.23679,0.111605,0.47051,1
0.644762,0.61055,0,0.371355,0.630381,0.397002,0.262368,0.386189,0.152152,0.312662,0.385957,0.680221,0.630435,0.354848,0.386204,0.217776,0.385693,0.234294,0.50154,0.642428,0.332966,0.298998,0.494602,0.413723,0.431648,0.697622,0.358736,0.47857,0.292597,0.484106,0.450615,0.280105,0.241425,0.459337,0.528372,0.367384,0.231,0.246234,0.103538,0.230901,1
0.494853,0.710529,0,0.474309,0.722491,0.332043,0.213193,0.295079,0.084863,0.21434,0.294902,0.773813,0.669033,0.45878,0.178882,0.138103,0.2947,0.141364,0.595799,0.685359,0.295526,0.261962,0.564522,0.508104,0.301906,0.63212,0.496902,0.609507,0.241677,0.293944,0.560893,0.203102,0.279492,0.250252,0.412686,0.413604,0.447764,0.294964,0.185291,0.447693,1
0.495599,0.716586,0,0.504016,0.726957,0.276792,0.336131,0.288968,0.182432,0.175761,0.288795,0.812125,0.704743,0.469575,0.204612,0.078175,0.288597,0.081785,0.600369,0.720531,0.25907,0.220899,0.564297,0.388275,0.304176,0.65499,0.455194,0.60642,0.237034,0.246621,0.575751,0.201761,0.312038,0.486437,0.411184,0.232778,0.111482,0.348868,0.149659,0.112164,1
0.57461,0.661959,0,0.406065,0.677742,0.374879,0.213193,0.328026,0.084863,0.226602,0.327829,0.763124,0.662806,0.376402,0.238796,0.190269,0.327605,0.187753,0.550006,0.679053,0.302282,0.273839,0.509515,0.420793,0.334332,0.587051,0.45481,0.574134,0.238085,0.286349,0.525775,0.325023,0.240455,0.536941,0.462431,0.283802,0.602132,0.259343,0.134502,0.602081,1
0.452788,0.724491,0,0.594942,0.738001,0.222786,0.203358,0.281297,0.171532,0.351482,0.281128,0.63659,0.709703,0.560108,0.353638,0.285992,0.280936,0.277541,0.611671,0.723001,0.250142,0.218654,0.578873,0.605759,0.443035,0.536189,0.599644,0.468587,0.306879,0.699172,0.436734,0.198856,0.298493,0.452579,0.381826,0.568922,0.505404,0.346555,0.199858,0.50534,1
0.563506,0.647997,0,0.458462,0.667985,0.290088,0.195311,0.351279,0.279279,0.274285,0.351068,0.70277,0.631103,0.442378,0.276162,0.197523,0.350827,0.191542,0.540021,0.639028,0.323946,0.287343,0.527248,0.771812,0.385749,0.541916,0.673546,0.526725,0.292213,0.7185,0.499371,0.126136,0.214637,0.405259,0.468095,0.818766,0.086834,0.221093,0.161962,0.087509,1
