@relation Dataset_T2_6d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute original_ngtdm_Coarseness numeric
@attribute wavelet_HLL_glrlm_LongRunEmphasis numeric
@attribute wavelet_HLL_glcm_Correlation numeric
@attribute wavelet_HLL_glrlm_ShortRunEmphasis numeric
@attribute label {0,1}

@data
0.555677,0.676468,1,0.510757,0.690984,0.452017,0
0.57736,0.664224,1,0.448587,0.67888,0.471262,0
0.644583,0.60765,1,0.380441,0.630075,0.521915,0
0.923438,0.048465,0,0.02631,0.030675,0.962874,0
0.890815,0.081926,0,0.059733,0.039767,0.922084,0
0.897568,0.06434,0,0.101147,0.040097,0.947731,0
0.895404,0.1009,0,0.060873,0.00528,0.98548,0
0.887104,0.033267,0,0.128746,0.09034,0.91427,0
0.408161,0.769039,0,0.509602,0.776105,0.253378,1
0.332999,0.817137,0,0.634748,0.820597,0.224503,1
0.389208,0.779723,1,0.602075,0.786116,0.222513,1
0.550528,0.671349,1,0.426211,0.686599,0.362921,1
0.604989,0.638032,1,0.32667,0.655565,0.413321,1
0.644532,0.594095,1,0.354955,0.619514,0.42704,0
0.692915,0.563302,1,0.299272,0.590266,0.478665,0
0.667,0.579137,1,0.34643,0.605283,0.441161,0
0.657568,0.563869,1,0.377106,0.595439,0.433107,0
0.594285,0.623323,1,0.363479,0.587272,0.477168,0
0.662467,0.59123,1,0.26673,0.614166,0.468026,0
0.653861,0.587245,1,0.341264,0.612575,0.404831,0
0.703074,0.543023,1,0.313986,0.573929,0.477104,0
0.703766,0.554163,1,0.29359,0.582125,0.439354,0
0.622581,0.617964,0,0.367503,0.63914,0.414489,0
0.687245,0.563112,1,0.270317,0.590531,0.450322,0
0.718455,0.537616,1,0.268208,0.567865,0.483346,0
0.631027,0.609242,1,0.381085,0.631418,0.388366,0
0.677116,0.580917,0.000001,0.326624,0.60471,0.412757,0
0.666537,0.587282,0,0.282668,0.610503,0.388702,0
0.612238,0.634405,1,0.299629,0.652217,0.430651,0
0.634782,0.614292,1,0.298582,0.634955,0.443116,0
0.582698,0.655193,0,0.382522,0.671575,0.394965,0
0.443197,0.741335,0,0.517081,0.752084,0.298886,0
0.514567,0.696833,0,0.415594,0.710364,0.328941,0
0.47902,0.720913,0,0.449447,0.732401,0.296641,0
0.641632,0.571908,0.000001,0.398093,0.566654,0.495626,0
0.427225,0.747801,0,0.436291,0.56216,0.498271,0
0.42359,0.761561,0,0.471202,0.618414,0.388866,0
0.488698,0.707398,0.000001,0.430878,0.58519,0.406617,0
0.531189,0.681359,0,0.434955,0.597582,0.404704,0
0.511965,0.69463,1,0.437737,0.599611,0.442266,0
0.443489,0.75048,0,0.420176,0.616724,0.406168,0
0.682679,0.565092,1,0.349327,0.59339,0.478369,0
0.776959,0.465849,1,0.237684,0.507857,0.574156,0
0.692796,0.556603,1,0.320064,0.585517,0.43425,0
0.691792,0.505829,1,0.489633,0.548722,0.514124,0
0.744314,0.488686,1,0.317007,0.529292,0.54454,0
0.382812,0.779997,0,0.397643,0.585348,0.456933,1
0.174672,0.915821,0,0.53438,0.581686,0.365073,1
0.421424,0.763699,0,0.475458,0.770635,0.212265,1
0.512766,0.701146,0,0.41221,0.71487,0.29345,1
0.591687,0.636868,1,0.34405,0.656486,0.358247,1
0.634077,0.601516,1,0.363098,0.62582,0.419466,1
0.457343,0.704137,1,0.666678,0.71328,0.344369,1
0.451511,0.713391,0,0.609848,0.689114,0.324851,1
0.575145,0.654808,0,0.36745,0.672425,0.350934,1
0.467457,0.730885,0,0.265223,0.741478,0.471057,1
0.456456,0.732361,0,0.498239,0.743812,0.299631,1
0.42878,0.753633,0,0.496953,0.763394,0.329449,1
0.93169,0.014469,0,0,0.103094,0.967765,1
0.931532,0.054047,1,0.078621,0.018901,0.942064,1
0.918843,0.039367,1,0.085841,0.037563,0.901316,1
0.892137,0.075018,1,0.125595,0.03321,0.887957,1
0.925131,0.036603,1,0.095806,0.033425,0.915163,1
0.484251,0.710664,0,0.61824,0.669512,0.356272,1
0.585488,0.613949,1,0.602206,0.61721,0.442756,1
0.72033,0.49979,1,0.432171,0.540417,0.521833,1
0.549493,0.670324,0,0.455934,0.686646,0.306373,0
0.489188,0.711436,0,0.539098,0.724532,0.219435,0
0.273458,0.850787,0,0.759649,0.707406,0.267169,0
0.29898,0.83356,0,0.631507,0.658943,0.297802,0
0.346002,0.81125,0,0.493447,0.589454,0.377907,0
0.458382,0.748451,0,0.520589,0.75623,0.410593,0
0.145871,0.931636,0,0.963099,0.928437,0.240993,0
