@relation Dataset_T2_2d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute label {0,1}

@data
0.286966,0.840211,0
0.285055,0.847543,0
0.252118,0.833834,0
0.251372,0.826089,0
0.197452,0.729219,0
0.228816,0.46659,1
0.186733,0.520901,1
0.091865,0.421195,1
0.071693,0.374138,1
0.228888,0.621366,1
0.069372,0.585422,1
0.107163,0.633822,1
0.141102,0.661278,1
0.269254,0.657235,1
0.204673,0.563607,1
0.209014,0.517694,1
0.238701,0.512243,1
0.372087,0.881641,0
0.267528,0.770453,0
0.231112,0.716788,0
0.263724,0.690605,1
0.241578,0.702155,1
0.198987,0.603513,1
0.184779,0.552266,1
0.979381,0.155447,1
1,0.129189,1
0.969781,0.096985,1
0.990576,0,1
0.95911,0.031465,1
0.296248,0.791481,0
0.300007,0.838244,0
0.202154,0.720198,0
0.173828,0.652926,0
0.341602,0.900972,0
0.318215,0.895398,0
0.219501,0.740209,0
0.21869,0.714136,0
0.205804,0.652342,0
0.459838,0.988508,0
0.393185,0.917008,0
0.317745,0.8286,0
0.272588,0.702612,0
0.396703,0.788434,0
0.301934,0.713619,0
0.284632,0.744258,0
0.213652,0.640616,0
