@relation Dataset_T2_2d_REL_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute wavelet_HLL_glcm_Imc1 numeric
@attribute wavelet_HLL_glcm_Imc2 numeric
@attribute label {0,1}

@data
0.557914,0.647268,1
0.484182,0.700561,1
0.43105,0.755723,1
0.560487,0.674657,0
0.53715,0.682877,0
0.609214,0.632141,0
0.608087,0.633437,0
0.599913,0.638653,0
0.288579,0.803428,1
0.362713,0.761355,1
0.343181,0.779047,1
0.609878,0.606702,1
0.470609,0.705517,1
0.523379,0.691911,0
0.566153,0.670201,0
0.555677,0.676468,0
0.57736,0.664224,0
0.644583,0.60765,0
0.923438,0.048465,0
0.890815,0.081926,0
0.897568,0.06434,0
0.895404,0.1009,0
0.887104,0.033267,0
0.408161,0.769039,1
0.332999,0.817137,1
0.389208,0.779723,1
0.550528,0.671349,1
0.604989,0.638032,1
0.644532,0.594095,0
0.692915,0.563302,0
0.667,0.579137,0
0.657568,0.563869,0
0.594285,0.623323,0
0.662467,0.59123,0
0.653861,0.587245,0
0.703074,0.543023,0
0.703766,0.554163,0
0.622581,0.617964,0
0.687245,0.563112,0
0.718455,0.537616,0
0.631027,0.609242,0
0.677116,0.580917,0
0.666537,0.587282,0
0.612238,0.634405,0
0.634782,0.614292,0
0.582698,0.655193,0
0.443197,0.741335,0
0.514567,0.696833,0
0.47902,0.720913,0
0.641632,0.571908,0
0.427225,0.747801,0
0.42359,0.761561,0
0.488698,0.707398,0
0.531189,0.681359,0
0.511965,0.69463,0
0.443489,0.75048,0
0.682679,0.565092,0
0.776959,0.465849,0
0.692796,0.556603,0
0.691792,0.505829,0
0.744314,0.488686,0
0.382812,0.779997,1
0.174672,0.915821,1
0.421424,0.763699,1
0.512766,0.701146,1
0.591687,0.636868,1
0.634077,0.601516,1
0.457343,0.704137,1
0.451511,0.713391,1
0.575145,0.654808,1
0.467457,0.730885,1
0.456456,0.732361,1
0.42878,0.753633,1
0.93169,0.014469,1
0.931532,0.054047,1
0.918843,0.039367,1
0.892137,0.075018,1
0.925131,0.036603,1
0.484251,0.710664,1
0.585488,0.613949,1
0.72033,0.49979,1
0.549493,0.670324,0
0.489188,0.711436,0
0.273458,0.850787,0
0.29898,0.83356,0
0.346002,0.81125,0
0.458382,0.748451,0
0.145871,0.931636,0
0.263153,0.868315,0
0.591434,0.650808,0
0.623631,0.620361,0
0.594015,0.640286,0
0.660935,0.593201,0
0.450713,0.743902,0
0.670279,0.580194,0
0.576856,0.646382,0
0.559769,0.654773,0
0.571524,0.649043,0
0.518275,0.696604,0
0.549314,0.660052,0
0.615578,0.594797,0
0.624915,0.619197,0
0.573695,0.655942,0
0.603674,0.635715,0
0.566482,0.662805,0
0.892852,0.071237,1
0.903155,0.050681,1
0.91975,0.042105,1
0.874493,0.097279,1
0.925108,0.043012,1
0.736346,0.526371,1
0.702152,0.556282,1
0.72623,0.539898,1
0.877456,0.095315,1
0.873211,0.077058,1
0.898461,0.034025,1
0.891998,0.038432,1
0.917165,0.068371,0
0.892486,0.08103,0
0.890643,0.052475,0
0.893905,0.083387,1
0.886494,0.084227,1
0.902255,0.072024,1
0.889643,0.107001,1
0.162426,0.915389,1
0.207952,0.891424,1
0.157081,0.924794,1
0.239923,0.874121,1
0,1,1
0.536397,0.680574,0
0.584668,0.638758,0
0.623893,0.608558,0
0.612081,0.604564,0
0.733629,0.532003,0
0.586101,0.644466,0
0.688161,0.571707,0
0.664713,0.590254,0
0.665502,0.592727,0
0.87918,0.0873,0
0.8637,0.078725,0
0.855808,0.097829,0
0.901526,0,0
0.574506,0.655993,0
0.493422,0.716855,0
0.576561,0.661273,0
0.601275,0.63873,0
