@relation Dataset_T2_16d_CFS_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute original_glrlm_RunLengthNonUniformity numeric
@attribute log_sigma_1_0_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_0_mm_3D_glcm_InverseVariance numeric
@attribute log_sigma_1_0_mm_3D_glrlm_LongRunEmphasis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Kurtosis numeric
@attribute log_sigma_1_5_mm_3D_firstorder_Skewness numeric
@attribute log_sigma_1_5_mm_3D_gldm_LargeDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_1_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_0_mm_3D_firstorder_Maximum numeric
@attribute log_sigma_2_0_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_0_mm_3D_glszm_HighGrayLevelZoneEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glcm_Imc1 numeric
@attribute log_sigma_2_5_mm_3D_gldm_SmallDependenceHighGrayLevelEmphasis numeric
@attribute log_sigma_2_5_mm_3D_glszm_ZoneEntropy numeric
@attribute log_sigma_3_0_mm_3D_firstorder_MeanAbsoluteDeviation numeric
@attribute log_sigma_3_0_mm_3D_glcm_Correlation numeric
@attribute label {0,1}

@data
0.011157,0.271043,0.160867,0.866822,0.041134,0.505879,0.177267,0.072083,0.085294,0.443777,0.198113,0.530959,0.094635,0.375023,0.144794,0.486769,1
0.006948,0.404111,0.651795,0.319103,0.263805,0.479548,0.153444,0.110194,0.080703,0.29242,0.232748,0.259614,0.100215,0.581599,0.109589,0.686832,0
0.008582,0.156483,0.507785,0.512725,0.113694,0.22525,0.119907,0.103003,0.064795,0.543318,0.259348,0.508271,0.094011,0.43699,0.101641,0.59006,0
0.008874,0.238368,0.485031,0.502496,0.182892,0.21555,0.098492,0.064959,0.091995,0.63458,0.263323,0.555811,0.075407,0.588187,0.093126,0.511593,0
0.0097,0.279375,0.531432,0.561741,0.253581,0.064952,0.08655,0.096121,0.074339,0.631443,0.266334,0.70626,0.081265,0.474518,0.096942,0.13407,0
0.007014,0.37386,0.436038,0.561572,0.313886,0.022963,0.08954,0.068303,0.089391,0.641702,0.272504,0.63942,0.071806,0.463794,0.118299,0.346287,0
0.01354,0.224667,0.556349,0.34183,0.017527,0.310601,0.160492,0.217442,0.072524,0.6407,0.272504,0.659589,0.18628,0.39959,0.107418,0.324261,1
0.00962,0.122327,0.654337,0.267639,0.069807,0.269913,0.138568,0.15085,0.069917,0.661645,0.208119,0.661354,0.16192,0.487469,0.086254,0.307356,1
0.009525,0.082307,0.605148,0.377983,0.064052,0.253474,0.139484,0.132498,0.047501,0.518209,0.271792,0.469905,0.099956,0.583416,0.082868,0.53784,1
0.008106,0.046979,0.549271,0.426529,0.025629,0.265244,0.101815,0.106937,0.038934,0.587556,0.27757,0.584097,0.070323,0.613132,0.077589,0.197755,1
