@relation Dataset_T2_40d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute label {0,1}

@data
0.181446,0.619518,0.281638,0.472335,0.429955,0.5321,0.840685,0.555692,0.642034,0.624764,0.667808,0.62546,0.467571,0.24555,0.639449,0.306331,0.459368,0.567806,0.559719,0.43849,0.183905,0.288258,0.436249,0.920777,0.500666,0.800429,0.509581,0.348144,0.345408,0.710992,0.674903,0.75714,0.584364,0.157349,0.708713,0.528417,0.596073,0.269105,0.47482,0.683717,1
0.302037,0.720761,0.482778,0.217368,0.278144,0.379632,0.609289,0.639968,0.741018,0.587997,0.641318,0.51784,0.502882,0.337427,0.869188,0.26769,0.673657,0.378298,0.737084,0.802793,0.292672,0.307564,0.738393,0.715454,0.455285,0.74745,0.612219,0.42249,0.274136,0.603212,0.493091,0.528065,0.638295,0.581785,0.372027,0.647784,0.606052,0.268685,0.563545,0.360558,1
0.201642,0.628854,0.315932,0.350711,0.327116,0.3691,0.70997,0.387345,0.67569,0.531032,0.691544,0.72447,0.509667,0.694214,0.727322,0.324913,0.971123,0.389535,0.702423,0.412741,0.171605,0.364412,0.540822,0.840095,0.379798,0.666983,0.624958,0.472758,0.327071,0.580978,0.340692,0.427402,0.561212,0.400866,0.605753,0.672511,0.552076,0.547294,0.461932,0.567476,1
0.228782,0.619534,0.391694,0.327558,0.336792,0.41843,0.863908,0.506814,0.571977,0.588258,0.537065,0.474928,0.342182,0.494898,0.750982,0.287,0.796643,0.394471,0.726312,0.910011,0.651972,0.452879,0.551006,0.745185,0.294365,0.433118,0.684902,0.476316,0.240192,0.817156,0.530744,0.668477,0.507753,0.625611,0.630203,0.758069,0.439162,0.325547,0.821512,0.634492,1
0.350531,0.846136,0.244565,0.556388,0.354192,0.565843,0.813409,0.436414,0.601122,0.676092,0.355223,0.725293,0.661026,0.674073,0.598809,0.62568,1,0.817421,0.704095,0.660349,0.201867,0.682427,0.905493,0.409501,0.77009,0.433189,0.609166,0.41592,0.576621,0.719243,0.245371,0.450983,0.537852,0.507802,0.565242,0.217542,0.638954,0.335299,0.561555,0.249699,1
0.326018,0.868598,0.257677,0.565769,0.451408,0.591561,0.676015,0.453744,0.60887,0.565658,0.742185,0.573532,0.59396,0.190455,0.73179,0.690531,0.368639,0.474051,0.558035,0.541257,0.195509,0.394173,0.543813,0.583149,0.636598,0.42153,0.476819,0.51217,0.468536,0.769259,0.514648,0.840807,0.676572,0.301457,0.306388,0.283741,0.723287,0.443284,0.848531,0.663232,1
0.256716,0.775269,0.16666,0.585173,0.509237,0.68268,0.67957,0.273742,0.520222,0.437363,0.646189,0.868095,0.399011,0.340682,0.406531,0.240148,0.585414,0.280799,0.351929,0.328269,0.319,0.6827,0.6002,0.546743,0.546653,0.706201,0.516592,0.449793,0.329214,0.746052,0.605532,0.853268,0.746897,0.233401,0.389444,0.488459,0.604523,0.415355,0.453841,0.186498,1
0.2172,0.768005,0.272105,0.438443,0.501006,0.051714,0.692097,0.792758,0.483165,0.807518,0.619138,0.749746,0.466384,0.240089,0.478576,0.41521,0.503154,0.635677,0.486543,0.603527,0.271927,0.795174,0.520257,0.76519,0.408408,0.767037,0.584889,0.456696,0.447453,0.79199,0.516591,0.366969,0.588533,0.735233,0.71728,0.574076,0.309072,0.557168,0.774018,0.398811,1
0.190777,0.684312,0.316066,0.308923,0.52684,0.249515,0.635224,0.505246,0.500532,0.69852,0.561828,0.755284,0.347621,0.341432,0.353205,0.298207,0.7586,0.484732,0.618307,0.462522,0.380565,0.468897,0.526546,0.761609,0.565499,0.555448,0.66756,0.603662,0.415997,0.656583,0.327273,0.833418,0.684994,0.368896,0.598243,0.301135,0.427875,0.563203,0.537125,0.732514,1
0.392836,0.97716,0.425089,0.330004,0.521698,0.315323,0.783208,0.481959,0.683251,1,0.113911,0.630651,0.90581,0.627351,0.53773,0.44429,0.821096,0.159377,0.833334,0.315492,0.448436,0.673641,0.1201,0.555459,0.300771,0.487295,0.669388,0.806196,0.369932,0.517009,0.506735,0.830818,0.777526,0.517221,0.722106,0.339476,0.697737,0.530949,0.326878,0.797021,0
0.350857,0.928122,0.367576,0.365293,0.5533,0.380562,0.607195,0.45014,0.670022,0.80729,0.38386,0.41931,0.661032,0.492304,0.683722,0.154328,0.445666,0.195098,0.902951,0.442423,0.706024,0.670082,0.651732,0.744464,0.51576,0.287143,0.520928,0.438509,0.371021,0.685587,0.549662,0.705246,0.900062,0.52861,0.51239,0.607044,0.760813,0.661077,0.480425,0.429944,0
0.243721,0.792337,0.263455,0.475478,0.517389,0.200043,0.745988,0.544385,0.594731,0.865971,0.455879,0.368156,0.662923,0.350395,0.602125,0.375257,0.516265,0.415705,0.861769,0.575185,0.450236,0.441457,0.585204,0.751304,0.181202,0.414848,0.58391,0.348484,0.416348,0.76043,0.56742,0.434341,0.646928,0.443168,0.596219,0.576677,0.615346,0.723316,0.73839,0.640525,0
0.224726,0.712885,0.309347,0.479511,0.344678,0.194368,0.955824,0.517993,0.73347,0.635602,0.576173,0.693155,0.594969,0.329469,0.561571,0.452935,0.548802,0.264145,0.826785,0.500084,0.365154,0.614546,0.532633,0.459817,0.351806,0.624193,0.641265,0.372908,0.536378,0.612217,0.554546,0.250625,0.617053,0.417706,0.498774,0.626193,0.396523,0.488431,0.418554,0.362769,0
0.254778,0.751753,0.226463,0.581996,0.350883,0.333596,0.849999,0.546953,0.657579,0.75326,0.645738,0.728225,0.674028,0.270234,0.460096,0.312374,0.372218,0.352191,0.639499,0.429627,0.390846,0.628019,0.344104,0.625068,0.366882,0.647516,0.530024,0.255211,0.586013,0.63149,0.556483,0.494841,0.834766,0.423339,0.698743,0.536247,0.226921,0.515146,0.520153,0.066096,0
0.445809,0.91921,0.410271,0.387065,0.323408,0.497625,0.582807,0.437757,0.636315,0.378299,0.439758,0.258045,0.456973,0.324462,0.630697,0.317834,0.81742,0.592525,0.667034,0.79701,0.58173,0.496335,0.300649,0.357474,0.523398,0.526893,0.40472,0.51656,0.485271,0.71454,0.602454,0.66587,0.865249,0.54944,0.911044,0.36682,0.923685,0.742163,0.535974,0.54376,0
0.388096,0.824948,0.304177,0.521392,0.250616,0.306388,0.5886,0.49116,0.585087,0.421692,0.562304,0.270303,0.266097,0.345516,0.699826,0.550602,0.564604,0.615685,0.760241,0.779967,0.396958,0.369072,0.551128,0.674616,0.773627,0.595599,0.692581,0.182281,0.410819,0.687088,0.63972,0.691462,0.547368,0.457955,0.468498,0,0.639985,0.418297,0.741176,0.070934,0
0.275232,0.681259,0.253637,0.502211,0.093447,0.368821,0.385833,0.760849,0.526671,0.471603,0.207425,0.542759,0.666197,0.329733,0.648828,0.474626,0.302692,0.110135,0.538848,0.748799,0.275223,0.326016,0.905787,0.601028,0.781715,0.452702,0.618417,0.41333,0.442484,0.808383,0.246531,0.69806,0.563454,0.815608,0.650584,0.371869,0.654203,0.35343,0.433549,0.39227,0
0.218682,0.566584,0.30526,0.438647,0.079883,0.250626,0.524964,0.478234,0.497204,0.527736,0.111254,0.778518,0.751596,0.814011,0.842672,0.467603,0.654027,0.424755,0.67015,0.541503,0.444198,0.365124,0.298881,0.218077,0.776952,0.677106,0.635242,0.348284,0.456442,0.59763,0.463436,0.669094,0.644314,0.586249,0.842109,0.320712,0.658067,0.574228,0.758677,0.247236,0
0.43368,0.94572,0.3258,0.443443,0.272132,0.27134,0.599744,0.258969,0.617168,0.248965,0.486592,0.575243,0.521949,0.07768,0.646611,0.538707,0.718504,0.836259,0.754932,0.591865,0.507043,0.511086,0.479624,0.406492,0.751094,0.348677,0.547451,0.516315,0.143641,0.699485,0.418387,0.378001,0.587744,0.384964,0.781311,0.51001,0.613482,0.375539,0.468527,0.744249,0
0.391135,0.901678,0.254586,0.577651,0.219549,0.132747,0.632351,0.43425,0.493594,0.406523,0.511326,0.68032,0.258022,0.064031,0.604626,0.424563,0.63333,0.601986,0.238131,0.42015,0.36692,0.335626,0.357148,0.792346,0.574983,0.548398,0.562083,0.657142,0.238834,0.65703,0.560029,0.561783,0.509486,0.666636,0.617683,0.631892,0.542927,0.371476,0.541643,0.665823,0
0.36818,0.866807,0.297382,0.469131,0.290787,0.182142,0.693419,0.545421,0.522535,0.429786,0.828749,0.581617,0.444637,0.464737,0.488705,0.321585,0.523285,0.58788,0.660885,0.308125,0.372228,0.718502,0.67017,0.129776,0.523608,0.405652,0.561515,0.45805,0.258569,0.610065,0.635804,0.579185,0.796581,0.621377,0.525471,0.449803,0.591234,0.431725,0.467885,0.460883,0
0.40395,0.873116,0.300784,0.522748,0.26123,0.268182,0.683063,0.40096,0.533229,0.620893,0.505456,0.513456,0.627161,0.240442,0.649269,0.283489,0.742207,0.414156,0.450255,0.658008,0.733406,0.182704,0.223127,0.397926,0.557398,0.47492,0.553263,0.62903,0.479728,0.523106,0.563472,0.539932,0.622939,0.687124,0.630671,0.581968,0.591233,0.537922,0.557548,0.326047,0
0.409388,0.858782,0.317193,0.563723,0.205035,0.306062,0.787896,0.480912,0.564462,0.818528,0.466542,0.662858,0.636576,0.792496,0.749673,0.234803,0.714157,0.637077,0.551082,0.52198,1,0.608557,0.668094,0.826922,0.631702,0.68825,0.567653,0.443605,0.429033,0.751966,0.356409,0.43686,0.508639,0.673645,0.441817,0.329233,0.516266,0.484996,0.241624,0.934167,0
0.419163,0.933799,0.324902,0.501155,0.302055,0.328291,0.686309,0.270995,0.552151,0.330361,0.568074,0.385598,0.469879,0.299469,0.546513,0.432018,0.516011,0.619563,0.824326,0.353055,0.291917,0.427138,0.382334,0.428843,0.707728,0.503396,0.334966,0.836232,0.369839,0.678966,0.422916,0.815842,0.652724,0.479067,0.714926,0.744198,0.706808,0.540824,0.369877,0.466579,0
0.388839,0.90022,0.264239,0.539405,0.29738,0.311048,0.796764,0.312177,0.463728,0.54405,0.535672,0.382661,0.368575,0.299707,0.538409,0.82406,0.392972,0.630307,0.631636,0.536255,0.38102,0.312008,0.544222,0.142841,0.577527,0.500919,0.546186,0.459193,0.445866,0.534101,0.255933,0.452065,0.813292,0.59259,0.639678,0.682665,0.499528,0.454871,0.680889,0.55505,0
0.368487,0.907907,0.275491,0.548419,0.2847,0.177988,0.728105,0.456655,0.564881,0.500159,0.696447,0.396536,0.560592,0.244295,0.645085,0.603179,0.390554,0.526204,0.590307,0.541936,0.521737,0.538822,0.589909,0.271354,0.528983,0.677884,0.587758,0.566018,0.354595,0.381114,0.505796,0.578609,0.866638,0.626715,0.370411,0.497016,0.624612,0.407948,0.577711,0.315441,0
0.317011,0.80366,0.239604,0.583758,0.202491,0.227038,0.744979,0.591203,0.439865,0.500335,0.420384,0.548855,0.967324,0.388818,0.68865,0.61042,0.384528,0.143044,0.754251,0.725247,0.644674,0.768992,0.829121,0.411858,0.526816,0.453424,0.512376,0.691323,0.365103,0.668023,0.338099,0.466747,0.503354,0.643904,0.642557,0.607711,1,0.363287,0.277966,0.413738,0
0.263703,0.708982,0.396449,0.356145,0.242216,0.23866,0.531437,0.364091,0.369295,0.303345,0.419281,0.663526,0.80872,0.484368,0.568923,0.223494,0.354076,0.157161,0.889121,0.736204,0.512721,0.528422,0.440712,0.428061,0.493093,0.54056,0.52311,0.359192,0.499675,0.563665,0.285318,0.521716,0.834397,0.170071,0.63471,0.488516,0.787111,0.550519,0.666593,0.447052,0
0.328844,0.866839,0.403261,0.333097,0.477208,0.425137,0.468077,0.286065,0.659118,0.479904,0.755935,0.607712,0.783108,0.792773,0.965967,0.55344,0.19012,0.624308,0.656847,0.57944,0.413338,0.525145,0.271063,0.570765,0.53812,0.538539,0.507161,0.616793,0.485537,0.72622,0.599119,0.639043,0.733761,0.512817,0.287593,0.5492,0.386623,0.669564,0.585471,0.434597,0
0.327903,0.902898,0.3088,0.422279,0.617266,0.468207,0.58536,0.493393,0.367425,0.818343,0.635904,0.429221,0.794743,0.315164,0.616656,0.523957,0.597524,0.655215,0.51576,0.67673,0.444801,0.401994,0.417181,0.777805,0.739055,0.32527,0.559023,0.386815,0.245764,0.426067,0.55716,0.780534,0.489614,0.378241,0.396571,0.696778,0.551185,0.671797,0.608867,0.834688,0
0.267902,0.821852,0.265907,0.391216,0.591487,0.438517,0.525984,0.482362,0.466507,0.739729,0.69124,0.567384,0.522194,0.553273,0.439072,0.565219,0.673726,0.274274,0.64389,0.833887,0.34167,0.609251,0.477549,0.553251,0.483844,0.520072,0.449478,0.649545,0.27874,0.758969,0.463828,0.675708,0.662457,0.414395,0.583061,0.362027,0.433725,0.577783,0.542378,0.652856,0
0.154642,0.614937,0.360378,0.252449,0.471166,0.183951,0.576776,0.51078,0.673865,0.711741,0.686761,0.705248,0.479216,0.610888,0.805922,0.588243,0.901299,0.314705,0.784909,0.339446,0.377801,0.367798,0.447299,0.598035,0.761898,0.531669,0.533905,0.704643,0.406703,0.6976,0.42056,0.450952,0.833368,0.309317,0.627557,0.696525,0.470039,0.571871,0.436041,0.461932,0
0.183337,0.649054,0.372546,0.299823,0.493607,0.403114,0.537493,0.327773,0.350958,0.777685,0.301636,0.741927,0.743257,0.561495,0.612449,0.691759,0.547956,0.354019,0.590531,0.365545,0.484964,0.116255,0.420845,0.870032,0.658161,0.474336,0.607856,0.648948,0.46421,0.590749,0.516581,0.496213,0.689564,0.362158,0.626446,0.436585,0.512013,0.352039,0.601392,0.132286,0
0.313577,0.894728,0.288576,0.389207,0.567106,0.449364,0.499503,0.412369,0.559499,0.766071,0.498319,0.345486,0.689944,0.141706,0.524085,0.699241,0.685539,0.46387,0.576973,0.616788,0.52684,0.337308,0.736203,0.344986,0.33662,0.375698,0.682479,0.489981,0.661724,0.291545,0.41986,0.687931,0.628087,0.532948,0.661722,0.730649,0.42502,0.124094,0.425962,0.404115,0
0.342885,0.913507,0.27435,0.499138,0.478603,0.708553,0.593849,0.379555,0.619209,0.427886,0.658818,0.500274,0.695528,0.310047,0.553007,0.550508,0.566666,0.417182,0.690606,0.68679,0.459687,0.437205,0.775288,0.465727,0.537296,0.569491,0.566544,0.241334,0.413232,0.576489,0.726131,0.340039,0.899079,0.507585,0.575569,0.374723,0.687012,0.530982,0.4956,0.735981,0
0.30437,0.870083,0.220343,0.496368,0.512018,0.636766,0.379404,0.298876,0.636366,0.35355,0.777194,0.487155,0.771311,0.360249,0.724382,0.227011,0.587281,0.288954,0.698271,0.528676,0.384775,0.554258,0.431271,0.615612,0.53505,0.5956,0.618436,0.43644,0.43921,0.543622,0.628049,0.250696,0.671906,0.171898,0.572125,0.537664,0.694105,0.27275,0.615919,0.682249,0
0.260988,0.826528,0.210103,0.470577,0.593002,0.381935,0.458493,0.344107,0.523308,0.621893,0.604046,0.357733,0.58412,0.376687,0.794941,0.409742,0.417504,0.4495,0.692271,0.611655,0.310446,0.33195,0.856285,0.314896,0.591272,0.537525,0.626626,0.49763,0.390586,0.555389,0.655239,0.596294,0.576037,0.41578,0.498266,0.413508,0.574512,0.486933,0.584148,0.435511,0
0.233359,0.782034,0.226732,0.478819,0.4804,0,0.685157,0.685567,0.447474,0.611081,0.618326,0.507565,0.537036,0.399269,0.41717,0.446844,0.685209,0.760837,0.686705,0.612468,0.225985,0.631275,0.918988,0.696449,0.332892,0.634283,0.486605,0.639279,0.539285,0.702088,0.661846,0.299443,0.437759,0.686119,0.576414,0.585346,0.879447,0.457822,0.756633,0.558096,0
